ctZ ctZI -2DeltaNLL
-0.217 0.083 0.283078093547
-0.183 0.083 0.667492131237
-0.15 0.083 1.12326723128
-0.117 0.083 1.63458985789
-0.083 0.083 2.12695357949
-0.05 0.083 2.54290094622
-0.017 0.083 2.85335772089
0 0.083 2.97485621972
0.017 0.083 3.05392453982
0.05 0.083 3.09277211013
0.083 0.083 3.04340070579
0.117 0.083 2.86727922666
0.15 0.083 2.62599125225
0.183 0.083 2.39119790751
0.217 0.083 2.18330589402
0.25 0.083 2.09745039814
0.283 0.083 2.17190054455
0.317 0.083 2.49102842389
0.35 0.083 3.11779713351
0.383 0.083 4.12060887879
0.417 0.083 5.54670029576
0.45 0.083 7.35984141985
0.483 0.083 9.64878236223
0.55 0.083 15.7073929189
0.6 0.083 21.2471962587
-0.6 0.117 20.3939011013
-0.55 0.117 14.6854333305
-0.483 0.117 8.51194955828
-0.45 0.117 6.07376344455
-0.417 0.117 4.08505245345
-0.383 0.117 2.49480957258
-0.35 0.117 1.3574279123
-0.317 0.117 0.623595468001
-0.283 0.117 0.211100769928
-0.25 0.117 0.103060129797
-0.217 0.117 0.24256266444
-0.183 0.117 0.534630997572
-0.15 0.117 0.917051769095
-0.117 0.117 1.37603736785
-0.083 0.117 1.81531628501
-0.05 0.117 2.19517024979
-0.017 0.117 2.47545986157
0 0.117 2.59051876515
0.017 0.117 2.66962244757
0.05 0.117 2.72799758101
0.083 0.117 2.68119542277
0.117 0.117 2.56262095319
0.15 0.117 2.37407457223
0.183 0.117 2.19083285262
0.217 0.117 2.06396572059
0.25 0.117 2.046239221
0.283 0.117 2.19280173513
0.317 0.117 2.61285432708
0.35 0.117 3.33280665195
0.383 0.117 4.41491375957
0.417 0.117 5.92183875083
0.45 0.117 7.80624911701
0.483 0.117 10.1707252553
0.55 0.117 16.3305891084
0.6 0.117 21.9199496715
-0.6 0.15 21.3049668614
-0.55 0.15 15.52951181
-0.483 0.15 9.2750061173
-0.45 0.15 6.74570054282
-0.417 0.15 4.66647951538
-0.383 0.15 2.99494700204
-0.35 0.15 1.7591665769
-0.317 0.15 0.917746258667
-0.283 0.15 0.396475163987
-0.25 0.15 0.191459190333
-0.217 0.15 0.210633010371
-0.183 0.15 0.406117867213
-0.15 0.15 0.711237250594
-0.117 0.15 1.08621729654
-0.083 0.15 1.46672394336
-0.05 0.15 1.8043448613
-0.017 0.15 2.06604664261
0 0.15 2.16315702745
0.017 0.15 2.24067450571
0.05 0.15 2.30487831915
0.083 0.15 2.29223412811
0.117 0.15 2.2104585038
0.15 0.15 2.09055445506
0.183 0.15 1.98324080952
0.217 0.15 1.9354151499
0.25 0.15 2.01783754863
0.283 0.15 2.29167463887
0.317 0.15 2.82159164967
0.35 0.15 3.64956910047
0.383 0.15 4.83350354712
0.417 0.15 6.43843243946
0.45 0.15 8.42753553251
0.483 0.15 10.8632470537
0.55 0.15 17.170632662
0.6 0.15 22.7850987285
-0.6 0.183 22.4577550893
-0.55 0.183 16.5953773037
-0.483 0.183 10.2262533396
-0.45 0.183 7.61631824262
-0.417 0.183 5.44468385377
-0.383 0.183 3.65721245087
-0.35 0.183 2.3121856309
-0.317 0.183 1.33876009611
-0.283 0.183 0.689472468803
-0.25 0.183 0.340939174173
-0.217 0.183 0.25657091639
-0.183 0.183 0.339219711488
-0.15 0.183 0.54186527757
-0.117 0.183 0.809366362635
-0.083 0.183 1.135732027
-0.05 0.183 1.40991175943
-0.017 0.183 1.64294153498
0 0.183 1.74055041722
0.017 0.183 1.81053170376
0.05 0.183 1.89594381955
0.083 0.183 1.90438601119
0.117 0.183 1.87523601111
0.15 0.183 1.83306288836
0.183 0.183 1.81472897134
0.217 0.183 1.87567309616
0.25 0.183 2.08022584533
0.283 0.183 2.46879246063
0.317 0.183 3.14024489326
0.35 0.183 4.10296585364
0.383 0.183 5.39655307517
0.417 0.183 7.11950695212
0.45 0.183 9.22518408764
0.483 0.183 11.7608218472
0.55 0.183 18.125929734
0.6 0.183 23.8933189092
-0.6 0.217 23.8904217472
-0.55 0.217 17.9201010903
-0.483 0.217 11.4486537909
-0.45 0.217 8.72813326726
-0.417 0.217 6.45247828425
-0.383 0.217 4.5272285901
-0.35 0.217 3.05986016942
-0.317 0.217 1.95215042098
-0.283 0.217 1.14810249442
-0.25 0.217 0.657601916464
-0.217 0.217 0.417149213841
-0.183 0.217 0.354094161186
-0.15 0.217 0.456678793766
-0.117 0.217 0.617140538059
-0.083 0.217 0.846321709454
-0.05 0.217 1.06199629605
-0.017 0.217 1.25768301473
0 0.217 1.34282136336
0.017 0.217 1.41519231652
0.05 0.217 1.5111316524
0.083 0.217 1.56891901419
0.117 0.217 1.60171549232
0.15 0.217 1.64523742138
0.183 0.217 1.73810037551
0.217 0.217 1.93195376778
0.25 0.217 2.25970210601
0.283 0.217 2.80485410104
0.317 0.217 3.64054573094
